codigo_escola,regiao,uf,dependencia_administrativa,localizacao,etapa_ensino,numero_alunos,numero_professores,pct_prof_ensino_superior,tem_biblioteca,tem_lab_informatica,tem_lab_ciencias,tem_quadra_esportes,tem_internet,tem_agua_potavel,tem_energia_eletrica,tem_jornada_estendida,taxa_aprovacao,nivel_socioeconomico,ideb
100037,Sudeste,ES,Municipal,Rural,Anos Iniciais,85,3,0.748,0,0,0,0,0,1,1,0,0.95,2.64,5.47
100038,Sudeste,MG,Municipal,Urbana,Anos Finais,174,9,0.7,1,0,1,1,1,1,1,1,0.834,4.58,6.69
100039,Centro-Oeste,DF,Estadual,Urbana,Anos Iniciais,382,22,0.872,1,1,0,1,1,1,1,0,0.905,3.95,6.91
100040,Nordeste,PE,Municipal,Rural,Anos Iniciais,306,14,0.629,0,0,0,1,1,0,1,1,0.912,3.56,5.54
100041,Nordeste,CE,Municipal,Rural,Ensino Médio,264,12,0.864,1,0,0,0,0,1,0,0,0.993,3.8,6.55
100042,Sudeste,ES,Estadual,Urbana,Anos Iniciais,407,21,0.677,1,1,0,0,1,1,1,1,0.958,4.21,6.78
100043,Nordeste,PE,Municipal,Rural,Anos Iniciais,229,9,0.792,1,0,0,0,0,1,1,0,0.75,3.36,4.96
100044,Norte,AC,Estadual,Rural,Anos Iniciais,124,9,0.848,0,0,0,0,0,1,1,0,0.834,3.0,5.38
100045,Norte,RO,Privada,Urbana,Anos Finais,304,22,0.842,1,0,0,1,1,1,1,0,0.902,5.92,6.52
100046,Sudeste,SP,Estadual,Rural,Ensino Médio,119,7,0.934,0,1,0,0,0,0,1,0,0.879,5.63,6.42
100047,Sudeste,RJ,Privada,Urbana,Anos Iniciais,250,13,0.881,1,0,1,0,1,1,1,1,0.907,5.51,7.13
100048,Sudeste,ES,Estadual,Urbana,Anos Iniciais,436,23,0.669,1,1,1,0,0,0,1,1,0.761,3.38,6.37
100049,Nordeste,PB,Municipal,Urbana,Ensino Médio,125,7,0.687,1,1,0,0,0,1,1,0,0.881,3.87,6.81
100050,Sul,RS,Privada,Urbana,Anos Iniciais,103,6,0.912,1,1,0,0,1,1,1,1,1.0,4.68,7.32
100051,Sul,PR,Municipal,Urbana,Anos Iniciais,213,10,0.701,1,1,0,0,0,1,1,1,0.758,3.74,6.62
100052,Sul,PR,Municipal,Urbana,Anos Iniciais,184,9,0.486,0,0,0,1,0,1,1,0,0.96,3.46,6.1
100053,Sudeste,MG,Estadual,Rural,Anos Iniciais,224,12,0.711,1,1,0,1,1,0,1,0,0.899,2.7,6.5
100054,Sudeste,RJ,Municipal,Rural,Anos Iniciais,294,14,0.75,1,0,0,0,0,0,0,0,0.92,4.04,6.67
100055,Centro-Oeste,MT,Municipal,Rural,Anos Finais,271,12,0.715,0,0,0,1,1,0,0,0,0.91,3.27,6.55
100056,Sudeste,SP,Estadual,Urbana,Anos Iniciais,196,11,0.87,0,0,1,1,1,0,1,0,0.853,4.2,7.11
100057,Centro-Oeste,MS,Municipal,Urbana,Anos Iniciais,244,11,0.675,0,0,0,0,1,1,1,0,0.781,3.42,5.56
100058,Sul,PR,Municipal,Rural,Anos Iniciais,81,3,0.732,0,0,0,0,1,0,0,0,0.798,2.96,5.73
100059,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,203,17,0.747,1,1,0,0,0,1,1,0,0.885,4.24,6.45
100060,Nordeste,PI,Estadual,Urbana,Anos Finais,246,11,0.834,0,0,0,1,1,0,1,1,0.94,4.63,7.37
100061,Nordeste,RN,Municipal,Rural,Ensino Médio,694,32,0.839,0,0,0,1,0,1,1,1,0.878,2.31,5.63
100062,Centro-Oeste,MS,Estadual,Urbana,Ensino Médio,226,13,0.652,0,1,0,1,1,1,1,0,0.853,4.14,7.0
100063,Nordeste,PI,Estadual,Urbana,Anos Finais,424,21,0.789,1,0,0,0,1,1,1,0,0.859,4.2,5.74
100064,Nordeste,PE,Municipal,Urbana,Anos Finais,111,7,0.917,0,1,1,0,1,1,1,0,0.843,2.68,6.28
100065,Nordeste,BA,Municipal,Urbana,Anos Finais,129,6,0.719,1,0,0,1,0,1,1,0,0.829,4.33,7.1
100066,Nordeste,CE,Estadual,Urbana,Anos Iniciais,165,8,0.812,0,1,0,1,1,1,1,0,0.811,4.07,5.62
100067,Nordeste,PI,Estadual,Urbana,Anos Iniciais,706,39,0.923,1,0,1,1,1,0,1,0,0.895,3.82,6.45
100068,Sudeste,MG,Municipal,Urbana,Anos Finais,249,12,0.769,1,0,0,1,1,1,1,0,0.817,2.53,5.45
100069,Sudeste,SP,Municipal,Urbana,Anos Finais,136,8,0.782,1,1,1,0,1,1,1,0,0.846,3.72,6.87
100070,Sudeste,ES,Estadual,Rural,Anos Iniciais,329,21,0.822,1,0,0,1,0,0,1,0,0.914,3.44,5.68
100071,Sul,SC,Municipal,Rural,Anos Iniciais,172,10,0.55,0,0,0,0,1,0,0,0,0.683,3.43,5.21
100072,Sul,SC,Municipal,Urbana,Anos Iniciais,95,4,0.666,1,1,0,1,1,1,1,0,0.789,3.41,5.75
100073,Norte,RO,Municipal,Urbana,Anos Iniciais,221,10,0.57,1,0,0,0,0,1,1,0,1.0,3.65,6.53
100074,Norte,AP,Privada,Rural,Anos Iniciais,136,6,0.871,1,0,0,1,1,0,1,0,0.87,4.85,6.68
100075,Centro-Oeste,MT,Estadual,Rural,Anos Iniciais,180,9,0.73,1,0,0,0,0,0,0,0,0.848,3.66,5.95
100076,Sul,PR,Municipal,Urbana,Anos Iniciais,214,19,0.728,1,1,0,0,0,1,1,0,0.887,2.49,6.18
100077,Sudeste,SP,Privada,Rural,Anos Iniciais,188,10,0.841,1,0,0,0,0,1,0,0,1.0,4.1,6.99
100078,Norte,PA,Municipal,Rural,Anos Iniciais,205,11,0.751,0,0,0,0,1,0,1,1,0.828,2.35,5.12
100079,Sudeste,ES,Municipal,Urbana,Ensino Médio,90,4,0.667,1,0,0,0,1,0,1,1,0.825,3.38,6.41
100080,Sudeste,RJ,Municipal,Rural,Ensino Médio,263,10,0.749,0,0,0,0,0,0,0,0,0.741,2.0,4.79
100081,Nordeste,RN,Municipal,Rural,Ensino Médio,214,8,0.603,1,1,0,0,0,0,0,0,0.785,3.61,5.73
100082,Nordeste,CE,Estadual,Urbana,Anos Finais,184,13,0.846,0,0,0,0,1,1,1,0,0.833,4.55,6.54
100083,Nordeste,CE,Estadual,Urbana,Anos Iniciais,500,49,0.685,0,0,0,0,0,0,1,0,0.831,4.07,6.43
100084,Norte,RO,Municipal,Urbana,Anos Iniciais,313,14,0.627,1,1,0,0,0,0,0,0,0.917,3.97,6.96
100085,Sul,PR,Municipal,Rural,Anos Iniciais,335,28,0.662,0,0,0,0,1,1,0,1,0.838,2.73,5.49
100086,Sudeste,MG,Estadual,Rural,Anos Iniciais,438,37,0.822,0,0,0,0,1,1,1,0,0.673,3.64,5.51
100087,Sudeste,ES,Estadual,Urbana,Anos Finais,37,3,0.741,1,1,0,0,1,0,1,0,0.876,4.37,6.44
100088,Sudeste,SP,Municipal,Urbana,Anos Iniciais,725,36,0.736,0,0,0,1,1,1,0,0,0.893,5.84,7.28
100089,Norte,AC,Estadual,Urbana,Anos Finais,626,33,0.911,0,1,1,0,1,1,1,0,0.849,4.4,6.22
100090,Centro-Oeste,DF,Municipal,Rural,Ensino Médio,35,3,0.601,0,0,0,0,0,0,1,0,0.893,2.73,4.72
100091,Sudeste,SP,Privada,Urbana,Ensino Médio,1651,121,0.872,1,0,1,1,1,1,1,0,0.893,4.88,7.2
100092,Sudeste,ES,Municipal,Rural,Ensino Médio,195,16,0.638,0,0,1,0,0,1,1,0,0.92,2.63,5.37
100093,Sudeste,MG,Municipal,Rural,Anos Iniciais,339,21,0.91,1,1,0,0,0,0,1,0,1.0,2.68,6.58
100094,Sul,SC,Municipal,Rural,Anos Iniciais,108,5,0.673,0,1,0,1,1,1,0,0,0.94,3.07,5.98
100095,Sudeste,SP,Municipal,Rural,Anos Finais,206,16,0.679,0,0,0,0,1,1,1,0,0.891,2.08,5.18
100096,Norte,TO,Municipal,Urbana,Anos Finais,149,9,0.675,1,0,0,0,0,1,1,1,0.788,3.36,5.72
100097,Centro-Oeste,MS,Estadual,Urbana,Anos Iniciais,2316,143,0.826,1,1,0,0,1,1,1,0,0.967,4.77,6.39
100098,Sul,RS,Municipal,Rural,Anos Iniciais,311,14,0.587,1,0,0,0,1,0,1,0,0.805,2.69,5.68
100099,Sudeste,MG,Municipal,Rural,Anos Iniciais,358,19,0.723,0,0,0,0,1,1,1,0,0.903,3.65,5.97
100100,Sudeste,MG,Estadual,Urbana,Ensino Médio,419,19,0.945,0,0,0,1,1,1,1,0,0.857,4.35,7.09
100101,Nordeste,SE,Municipal,Urbana,Anos Iniciais,73,5,0.557,0,0,1,1,1,1,1,0,0.904,4.13,6.49
100102,Sudeste,ES,Municipal,Urbana,Anos Iniciais,757,34,0.743,1,1,0,0,1,1,1,0,0.801,2.96,5.49
100103,Nordeste,BA,Municipal,Urbana,Anos Iniciais,436,18,0.683,1,0,0,0,0,0,1,0,0.932,3.25,5.41
100104,Norte,TO,Municipal,Urbana,Anos Iniciais,103,6,0.806,0,1,0,0,1,0,0,0,0.885,3.25,6.54
100105,Sudeste,ES,Municipal,Rural,Anos Iniciais,555,33,0.603,1,0,0,0,0,1,0,0,0.769,3.61,4.96
100106,Sudeste,RJ,Municipal,Urbana,Ensino Médio,238,17,0.666,0,0,0,0,0,1,1,1,0.79,3.16,6.41
100107,Sudeste,SP,Estadual,Urbana,Ensino Médio,290,20,0.893,0,0,1,0,1,1,1,0,0.791,4.54,6.4
100108,Centro-Oeste,MT,Municipal,Urbana,Anos Iniciais,950,75,0.782,1,1,0,0,1,0,1,1,0.83,3.25,6.66
100109,Nordeste,MA,Municipal,Urbana,Anos Finais,378,19,0.797,0,1,0,0,0,0,1,1,0.797,4.1,5.97
100110,Sul,PR,Municipal,Rural,Anos Iniciais,88,3,0.773,1,1,0,0,0,1,1,0,0.888,3.01,5.99
100111,Sudeste,ES,Privada,Urbana,Anos Iniciais,30,3,0.842,0,1,1,1,1,1,1,0,0.98,5.3,7.85
100112,Nordeste,CE,Municipal,Urbana,Ensino Médio,415,20,0.728,1,1,0,1,1,0,1,0,0.897,3.45,6.27
100113,Sudeste,RJ,Privada,Urbana,Anos Iniciais,331,19,0.866,1,1,0,1,1,1,1,1,0.879,6.04,7.84
100114,Centro-Oeste,MS,Municipal,Urbana,Anos Iniciais,97,5,0.802,0,0,0,1,0,0,0,0,0.861,4.37,6.7
100115,Nordeste,MA,Privada,Urbana,Ensino Médio,300,26,0.823,1,0,0,1,1,1,1,0,0.931,6.35,7.58
100116,Centro-Oeste,MS,Privada,Urbana,Ensino Médio,453,22,0.884,1,1,0,1,1,1,1,0,0.985,6.07,7.61
100117,Sul,RS,Municipal,Urbana,Anos Finais,481,24,0.821,1,0,1,0,0,1,1,0,0.925,3.54,6.44
100118,Sudeste,MG,Privada,Urbana,Anos Iniciais,319,21,0.934,1,1,1,0,1,1,1,1,0.948,6.87,7.78
100119,Sul,PR,Municipal,Urbana,Anos Iniciais,192,14,0.747,1,0,1,1,0,1,1,0,0.701,3.1,5.79
100120,Nordeste,RN,Municipal,Urbana,Anos Iniciais,116,8,0.723,1,1,0,0,1,1,1,0,0.836,3.86,6.9
100121,Sudeste,MG,Privada,Urbana,Anos Iniciais,172,8,0.958,1,1,0,1,1,1,1,0,0.781,6.06,7.47
100122,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,1406,73,0.859,1,1,0,1,1,1,1,0,0.778,3.99,6.34
100123,Sudeste,SP,Municipal,Urbana,Anos Iniciais,69,4,0.716,0,0,0,0,1,1,1,0,0.877,3.97,6.55
100124,Sul,SC,Municipal,Urbana,Anos Iniciais,460,22,0.703,0,0,1,1,1,1,1,0,0.605,2.91,5.3
100125,Sudeste,ES,Municipal,Urbana,Ensino Médio,305,15,0.749,0,1,0,1,1,1,1,1,0.816,4.62,7.7
100126,Sudeste,ES,Estadual,Urbana,Ensino Médio,26,3,0.85,0,1,0,0,1,1,1,0,0.96,4.24,6.89
100127,Nordeste,AL,Municipal,Urbana,Anos Finais,342,14,0.811,1,1,1,0,0,1,1,0,0.778,2.71,5.93
100128,Norte,AM,Privada,Urbana,Anos Finais,480,20,0.865,1,1,0,0,1,1,1,0,0.96,6.46,7.84
100129,Sul,SC,Municipal,Urbana,Anos Finais,317,13,0.846,0,0,0,0,1,1,1,0,0.819,3.18,5.65
100130,Nordeste,PI,Estadual,Rural,Anos Finais,366,24,0.823,0,0,0,0,1,0,0,0,0.721,3.87,5.75
100131,Sul,SC,Estadual,Urbana,Anos Finais,120,8,0.785,1,0,0,0,1,1,1,0,0.781,3.05,5.87
100132,Sul,RS,Estadual,Urbana,Anos Iniciais,77,3,0.929,1,1,0,0,1,1,1,0,0.815,4.27,7.51
100133,Sul,SC,Municipal,Urbana,Anos Iniciais,556,39,0.728,0,0,1,0,0,1,1,0,0.84,3.85,5.79
100134,Nordeste,PI,Municipal,Urbana,Anos Finais,452,21,0.677,1,0,0,0,0,1,1,0,0.703,2.46,4.85
100135,Nordeste,RN,Estadual,Urbana,Anos Iniciais,172,7,0.873,1,0,1,0,0,1,1,0,0.687,4.35,6.09
100136,Sul,SC,Municipal,Urbana,Anos Iniciais,223,12,0.788,1,1,0,1,0,1,1,0,0.789,4.56,6.56
100137,Sul,RS,Estadual,Urbana,Anos Iniciais,298,13,0.859,1,0,0,1,1,1,1,0,0.987,4.35,7.17
100138,Sudeste,RJ,Municipal,Urbana,Anos Finais,205,8,0.703,0,1,1,1,1,1,1,0,0.942,4.18,6.98
100139,Sudeste,SP,Estadual,Urbana,Ensino Médio,66,3,0.87,0,1,0,1,1,1,1,0,1.0,2.99,5.95
100140,Sul,SC,Municipal,Rural,Anos Iniciais,45,3,0.835,0,0,0,0,1,0,1,0,0.866,3.31,6.11
100141,Nordeste,RN,Estadual,Urbana,Ensino Médio,230,11,0.755,1,1,0,1,1,1,1,0,0.887,4.9,7.48
100142,Sudeste,ES,Municipal,Rural,Anos Iniciais,432,37,0.654,0,0,0,1,1,0,1,0,0.866,3.83,5.73
100143,Sul,RS,Estadual,Urbana,Anos Iniciais,472,30,0.789,1,0,0,1,0,1,1,0,0.795,5.28,6.52
100144,Nordeste,RN,Estadual,Urbana,Anos Iniciais,262,18,0.816,0,0,0,1,0,1,1,0,0.903,3.79,6.31
100145,Sudeste,RJ,Municipal,Urbana,Ensino Médio,908,56,0.743,0,1,0,1,0,1,1,0,0.803,3.99,6.04
100146,Sudeste,MG,Municipal,Urbana,Anos Finais,174,9,0.688,0,1,0,0,1,1,1,0,0.831,4.06,6.58
100147,Norte,AM,Municipal,Urbana,Anos Finais,542,35,0.601,1,0,1,1,0,0,1,0,0.845,3.54,6.52
100148,Sudeste,RJ,Municipal,Rural,Anos Iniciais,100,4,0.815,0,0,0,0,1,0,0,0,0.907,2.95,5.85
100149,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,102,5,0.923,1,0,0,1,0,1,1,0,0.749,3.38,6.65
100150,Sudeste,RJ,Municipal,Rural,Anos Finais,1748,74,0.652,0,1,0,0,0,1,1,1,0.837,3.52,5.86
100151,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,407,21,0.88,1,0,0,0,1,1,1,0,0.704,5.43,6.98
100152,Sudeste,SP,Municipal,Rural,Anos Iniciais,2013,99,0.683,0,0,0,1,0,1,1,0,0.858,3.01,5.39
100153,Sudeste,RJ,Municipal,Rural,Ensino Médio,161,7,0.774,0,0,0,1,0,1,1,1,0.771,2.4,5.94
100154,Sudeste,ES,Estadual,Urbana,Anos Iniciais,182,11,0.777,1,1,1,1,1,1,1,1,0.874,4.67,7.4
100155,Nordeste,AL,Privada,Urbana,Anos Finais,1799,125,0.958,1,1,0,1,1,1,1,0,0.906,5.88,7.89
100156,Sul,RS,Municipal,Urbana,Anos Finais,458,20,0.708,1,0,1,0,0,1,1,0,0.823,3.18,6.21
100157,Sudeste,RJ,Municipal,Rural,Anos Finais,368,15,0.725,0,0,0,1,1,1,0,0,0.744,2.62,5.55
100158,Centro-Oeste,DF,Municipal,Rural,Ensino Médio,311,15,0.731,0,0,0,1,1,1,0,1,0.797,2.54,5.96
100159,Nordeste,CE,Municipal,Urbana,Anos Iniciais,79,3,0.677,0,1,0,0,0,1,1,0,1.0,3.8,6.65
100160,Norte,RR,Estadual,Urbana,Anos Iniciais,137,7,0.718,0,0,1,1,1,1,1,1,0.79,4.81,7.25
100161,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,177,11,0.951,1,0,1,0,1,1,1,1,0.908,5.02,7.75
100162,Nordeste,MA,Municipal,Urbana,Anos Finais,374,20,0.735,0,0,0,0,1,1,1,0,0.963,3.32,6.35
100163,Nordeste,MA,Municipal,Urbana,Ensino Médio,269,13,0.657,0,0,0,0,1,1,1,0,0.744,3.49,6.21
100164,Nordeste,CE,Municipal,Urbana,Ensino Médio,1656,103,0.659,1,0,0,1,0,0,1,0,0.726,3.61,5.02
100165,Sudeste,RJ,Estadual,Urbana,Anos Iniciais,184,11,0.829,1,1,0,1,0,1,1,0,0.686,3.34,6.09
100166,Norte,AM,Estadual,Urbana,Ensino Médio,82,5,0.842,1,0,0,0,1,0,1,0,0.842,3.62,6.69
100167,Sudeste,MG,Estadual,Urbana,Anos Iniciais,181,9,0.862,1,1,1,1,1,1,1,0,0.759,3.89,6.41
100168,Norte,AP,Municipal,Rural,Anos Iniciais,194,10,0.741,1,0,1,0,0,0,0,1,0.951,2.4,5.46
100169,Nordeste,PI,Estadual,Urbana,Anos Iniciais,293,18,0.782,1,0,0,1,1,1,1,1,0.925,3.65,6.52
100170,Sul,RS,Municipal,Rural,Anos Finais,161,7,0.804,1,0,0,0,0,1,1,0,0.947,4.13,6.46
100171,Nordeste,PI,Estadual,Urbana,Anos Finais,90,4,0.835,1,1,1,0,1,0,1,0,0.88,4.67,7.12
100172,Norte,AP,Estadual,Urbana,Anos Finais,376,14,0.805,0,1,1,1,1,1,1,1,0.841,5.44,7.55
100173,Sudeste,ES,Estadual,Urbana,Anos Iniciais,131,4,0.799,1,1,1,0,1,1,1,0,0.877,3.59,6.37
100174,Nordeste,RN,Municipal,Rural,Ensino Médio,455,41,0.789,0,0,1,0,1,1,1,0,0.905,2.04,5.26
100175,Sudeste,RJ,Municipal,Urbana,Anos Iniciais,262,19,0.711,0,0,0,0,0,0,1,1,0.826,4.57,6.36
100176,Norte,AC,Estadual,Urbana,Anos Finais,232,11,0.738,1,1,0,1,1,1,1,0,0.857,3.04,6.48
100177,Sul,PR,Municipal,Urbana,Ensino Médio,86,4,0.604,1,0,1,0,0,1,1,0,0.909,4.44,6.8
100178,Norte,RR,Estadual,Urbana,Anos Finais,124,9,0.89,1,0,0,1,0,1,1,0,0.798,5.35,6.71
100179,Sul,PR,Estadual,Urbana,Anos Iniciais,165,8,0.6,1,0,0,0,1,1,1,0,0.697,3.41,5.03
100180,Nordeste,PE,Municipal,Rural,Anos Finais,694,46,0.801,0,0,0,0,0,1,1,0,0.894,2.59,5.69
100181,Sudeste,RJ,Municipal,Urbana,Ensino Médio,1273,58,0.798,0,0,0,1,0,1,0,1,0.902,3.68,6.76
100182,Sul,RS,Municipal,Rural,Anos Iniciais,67,4,0.733,1,0,0,0,0,0,1,1,0.852,2.98,5.77
100183,Nordeste,AL,Municipal,Urbana,Anos Iniciais,103,8,0.692,1,0,0,1,0,1,1,0,0.893,3.16,6.29
100184,Sudeste,RJ,Municipal,Rural,Anos Iniciais,670,42,0.638,0,1,0,0,1,1,1,0,0.852,2.8,5.77
100185,Nordeste,PE,Municipal,Rural,Anos Finais,243,15,0.77,0,0,0,1,0,1,0,0,0.844,3.3,5.56
100186,Sudeste,MG,Municipal,Rural,Anos Iniciais,105,5,0.768,0,0,0,0,0,0,1,0,0.934,1.94,5.63
100187,Sudeste,MG,Municipal,Rural,Anos Iniciais,236,25,0.558,1,0,0,0,1,0,1,0,0.948,3.01,6.34
100188,Sudeste,RJ,Municipal,Rural,Anos Iniciais,1098,51,0.592,0,0,0,0,1,0,0,1,0.827,4.35,6.28
100189,Sudeste,MG,Municipal,Urbana,Anos Iniciais,174,7,0.677,1,0,1,0,0,1,1,0,0.869,3.14,6.33
100190,Sul,RS,Municipal,Urbana,Anos Iniciais,1275,54,0.568,0,0,0,0,1,0,1,0,0.899,2.3,6.11
100191,Sudeste,ES,Privada,Urbana,Ensino Médio,697,32,0.967,0,1,0,1,1,1,1,0,0.919,7.0,8.17
100192,Norte,AC,Municipal,Urbana,Anos Finais,406,30,0.733,0,0,0,0,1,0,1,0,0.8,4.55,6.33
100193,Sul,SC,Municipal,Urbana,Anos Iniciais,247,11,0.662,1,1,0,1,1,1,1,0,0.727,3.72,6.18
100194,Nordeste,MA,Municipal,Rural,Anos Finais,187,8,0.655,0,0,0,0,0,1,1,0,0.934,2.47,5.21
100195,Norte,AP,Municipal,Urbana,Ensino Médio,199,11,0.753,0,1,1,0,1,1,1,0,0.984,4.3,7.04
100196,Nordeste,PI,Estadual,Urbana,Anos Iniciais,236,15,0.668,0,0,0,1,1,1,1,0,0.845,4.42,6.13
100197,Nordeste,CE,Municipal,Rural,Ensino Médio,718,28,0.756,1,0,0,0,0,1,1,0,1.0,2.03,5.59
100198,Norte,AP,Estadual,Urbana,Anos Finais,409,27,0.774,1,1,0,1,1,1,1,0,0.878,4.01,6.6
100199,Sudeste,RJ,Privada,Urbana,Ensino Médio,253,17,0.978,1,0,0,1,1,1,1,0,0.879,6.94,7.24
100200,Nordeste,PE,Municipal,Rural,Ensino Médio,75,3,0.689,0,0,0,0,0,1,1,1,0.878,2.84,5.27
100201,Nordeste,PI,Privada,Urbana,Anos Iniciais,314,18,0.753,1,1,1,1,1,1,1,1,0.745,5.05,6.82
100202,Norte,AM,Municipal,Urbana,Anos Finais,272,16,0.636,0,0,0,0,0,1,1,0,0.695,2.87,4.98
100203,Nordeste,RN,Municipal,Rural,Ensino Médio,235,16,0.661,1,0,1,1,0,0,0,0,0.888,3.47,5.94
100204,Nordeste,AL,Estadual,Urbana,Anos Iniciais,306,16,0.876,0,0,1,1,1,1,1,0,0.87,3.68,7.56
100205,Sudeste,MG,Municipal,Urbana,Anos Iniciais,841,54,0.682,1,0,0,0,0,1,1,0,0.922,3.29,6.05
100206,Sudeste,MG,Municipal,Rural,Anos Finais,208,16,0.752,1,0,0,0,1,1,0,0,0.924,3.31,6.43
100207,Norte,AP,Municipal,Urbana,Anos Finais,585,41,0.647,0,1,0,0,1,1,1,0,0.996,2.95,6.41
